fold,subject,nsdId,repeat_1,repeat_2,raw_cosine_same_image
fold_01,1,7007,3,3,0.9040879607200623
fold_01,1,7039,1,1,0.9401429295539856
fold_01,1,7039,2,2,0.9162470698356628
fold_01,1,7039,3,3,0.9298198223114014
fold_01,1,7120,1,1,0.9530436992645264
fold_01,1,7120,2,2,0.9460998177528381
fold_01,1,7120,3,3,0.9028368592262268
fold_01,1,7207,1,1,0.9394826292991638
fold_01,1,7207,2,2,0.9325575232505798
fold_01,1,7207,3,3,0.9379737973213196
fold_01,1,7366,1,1,0.9289621710777283
fold_01,1,7366,2,2,0.928913414478302
fold_01,1,7366,3,3,0.9282371401786804
fold_01,1,7409,1,1,0.9229114651679993
fold_01,1,7409,2,2,0.908336341381073
fold_01,1,7409,3,3,0.910701334476471
fold_01,1,7418,1,1,0.9267594814300537
fold_01,1,7418,2,2,0.9423781037330627
fold_01,1,7418,3,3,0.9166997075080872
fold_01,1,7480,1,1,0.9250062704086304
fold_01,1,7480,2,2,0.9280622601509094
fold_01,1,7480,3,3,0.9369766116142273
fold_01,1,7654,1,1,0.9421309232711792
fold_01,1,7654,2,2,0.9404415488243103
fold_01,1,7654,3,3,0.9477865695953369
fold_01,1,7840,1,1,0.9442018270492554
fold_01,1,7840,2,2,0.8877566456794739
fold_01,1,7840,3,3,0.9375180006027222
fold_01,1,7859,1,1,0.9272245168685913
fold_01,1,7859,2,2,0.9283966422080994
fold_01,1,7859,3,3,0.9333097338676453
fold_01,1,7944,1,1,0.9299317002296448
fold_01,1,7944,2,2,0.9433135390281677
fold_01,1,7944,3,3,0.94058758020401
fold_01,1,7948,1,1,0.9338598251342773
fold_01,1,7948,2,2,0.9315201640129089
fold_01,1,7948,3,3,0.8952396512031555
fold_01,1,7954,1,1,0.9226524233818054
fold_01,1,7954,2,2,0.907118022441864
fold_01,1,7954,3,3,0.9244479537010193
fold_01,1,8006,1,1,0.9345648884773254
fold_01,1,8006,2,2,0.9338595867156982
fold_01,1,8006,3,3,0.9234098196029663
fold_01,1,8109,1,1,0.9396721124649048
fold_01,1,8109,2,2,0.9341583251953125
fold_01,1,8109,3,3,0.9302425980567932
fold_01,1,8204,1,1,0.9385512471199036
fold_01,1,8204,2,2,0.8815565705299377
fold_01,1,8204,3,3,0.8886833190917969
fold_01,1,8225,1,1,0.9149384498596191
fold_01,1,8225,2,2,0.912058413028717
fold_01,1,8225,3,3,0.9289917349815369
fold_01,1,8387,1,1,0.9075087308883667
fold_01,1,8387,2,2,0.9194000959396362
fold_01,1,8387,3,3,0.9235364198684692
fold_01,1,8394,1,1,0.9484665393829346
fold_01,1,8394,2,2,0.9271135926246643
fold_01,1,8394,3,3,0.9538829922676086
fold_01,1,8415,1,1,0.9390909671783447
fold_01,1,8415,2,2,0.9371496438980103
fold_01,1,8415,3,3,0.9251761436462402
fold_01,1,8435,1,1,0.940130352973938
fold_01,1,8435,2,2,0.9195557236671448
fold_01,1,8435,3,3,0.9029086232185364
fold_01,1,8465,1,1,0.8674997091293335
fold_01,1,8465,2,2,0.9231953620910645
fold_01,1,8465,3,3,0.9437217712402344
fold_01,1,8509,1,1,0.9333367347717285
fold_01,1,8509,2,2,0.9343915581703186
fold_01,1,8509,3,3,0.949391782283783
fold_01,1,8646,1,1,0.9352683424949646
fold_01,1,8646,2,2,0.9400712251663208
fold_01,1,8646,3,3,0.921589732170105
fold_01,1,8807,1,1,0.9211373329162598
fold_01,1,8807,2,2,0.9391756653785706
fold_01,1,8807,3,3,0.9355676174163818
fold_01,1,8843,1,1,0.9277769327163696
fold_01,1,8843,2,2,0.9240837097167969
